eVs,Wavelength,Si,GaAs,CdTe,CdTe monocrystalline,CdTe_FCA,CIGS,CIS,GaNP,GaNP older,GaAs_Aspnes,GaAs_Sze,GaAs_Adachi,GaAs_Sturge,Old_CdTe,perovskite triple cation,perovskite MaPI,MaPI no extrapolation,MaPI extrapolated,MaPI extrapolated highly extrapolated,Triple Cation Perovskite Urbach Tail Hybrid,GaAs_Palik_eyeballed,GaAs_Palik_Urbach,GaAs_original_data
1.528782302,811.0004049,767.8402947,12995.9991,22280.66844,10015.12792,1.35E-19,54437.87774,85950.74401,1.00E-06,385.86068,12912.64652,10183.77097,13801.86148,13998.66126,896.9750414,124.3654202,105.2863883,105.2863883,105.2863883,105.2863883,124.437053,12021.99337,12021.99337,12021.99337
1.530669687,810.0004047,775.0037984,13041.29427,22666.16339,10366.9142,1.35E-19,54623.02708,84735.68335,1.00E-06,385.86068,12960.11028,10250.88951,13889.53412,14106.52557,966.7043691,141.0436921,123.22223,123.22223,123.22223,123.22223,141.1221259,12095.26895,12095.26895,12095.26895
1.532561739,809.0004039,782.1156329,13086.85989,23059.30615,10684.91234,1.34E-19,54809.26619,85512.62764,1.00E-06,385.86068,13007.86649,10318.61798,13968.40739,14214.65654,1041.960926,160.0084208,144.2696007,144.2696007,144.2696007,144.2696007,160.0942103,12169.0825,12169.0825,12169.0825
1.534458474,808.0004033,789.3105747,13132.69809,23460.26645,10957.27035,1.34E-19,54996.60365,86297.66998,1.00E-06,385.86068,13055.91753,10386.96324,14040.02943,14323.05516,1135.529612,181.5798355,167.9620638,167.9620638,167.9620638,167.9620638,181.6735611,12243.43865,12243.43865,12243.43865
1.536359909,807.0004031,796.5897804,13178.81102,23869.21832,11173.13771,1.34E-19,55185.0481,87090.90495,1.00E-06,385.86068,13104.26583,10455.93226,14107.1165,14431.72243,1248.52155,206.1239698,195.0674121,195.0674121,195.0674121,195.0674121,206.226234,12318.34206,12318.34206,12318.34206
1.538266063,806.0004025,803.954433,13225.20092,24286.34052,11380.17801,1.34E-19,55374.60825,87892.42837,1.00E-06,385.86068,13152.9138,10525.53208,14173.57163,14540.65934,1359.077872,234.0593682,226.6310934,226.6310934,226.6310934,226.6310934,234.1707905,12393.79745,12393.79745,12393.79745
1.540176953,805.0004017,811.405726,13271.78646,24711.81572,11598.80342,1.34E-19,55565.29292,86699.20071,1.00E-06,385.86068,13201.86392,10595.76984,14244.50358,14649.8669,1414.737454,265.8647145,263.4001991,263.4001991,263.4001991,263.4001991,265.9859239,12469.80957,12469.80957,12469.80957
1.542092596,804.0004012,818.944872,13317.89734,25145.83112,11811.11056,1.33E-19,55757.11102,87541.66417,1.00E-06,385.86068,13251.11865,10666.65277,14316.05096,14759.34613,1472.349431,302.0876774,306.2493089,306.2493089,306.2493089,306.2493089,302.2193031,12546.38324,12546.38324,12546.38324
1.54401301,803.0004008,826.5731068,13364.28387,25588.5787,12036.54705,1.33E-19,55950.07154,88393.37774,1.00E-06,385.86068,13300.68052,10738.18821,14388.13725,14869.09803,1472.349431,343.3550782,356.2026651,356.2026651,356.2026651,356.2026651,343.4977368,12623.5233,12623.5233,12623.5233
1.545938213,802.0004004,834.2916857,13410.94825,26040.25522,12241.53403,1.33E-19,56144.18353,89254.45468,1.00E-06,385.86068,13350.55204,10810.3836,14460.76764,14979.12362,1472.349431,390.3845463,414.4602223,414.4602223,414.4602223,414.4602223,390.5388256,12701.23467,12701.23467,12701.23467
1.547868223,801.0004001,842.1018841,13457.89269,26501.06229,12373.0707,1.33E-19,56339.45619,90125.0098,1.00E-06,385.86068,13400.73579,10883.24645,14533.9474,15089.42393,1472.349431,443.9979438,482.4283326,482.4283326,482.4283326,482.4283326,444.1643817,12779.52228,12779.52228,12779.52228
1.549803059,800.0003992,850.0050019,13505.11946,26971.20676,12451.97473,1.33E-19,56535.87452,91005.15946,1.00E-06,385.86068,13451.23434,10956.78442,14607.68183,15200,1695.822476,505.1368473,561.7559278,561.7559278,561.7559278,561.7559278,505.3159058,12858.39115,12858.39115,12858.39115
1.551742737,799.0003989,857.415449,13552.63077,27450.89988,12510.28635,1.32E-19,56672.62013,89675.60735,1.00E-06,385.86068,13502.0503,11031.00522,14681.9763,15310.85285,1780.861708,574.8802017,654.3769257,654.3769257,654.3769257,654.3769257,575.0722335,12937.84632,12937.84632,12937.84632
1.553687277,798.0003983,864.90932,13600.42894,27940.35916,12555.76178,1.32E-19,56803.13428,90507.60444,1.00E-06,385.86068,13553.18632,11105.9167,14757.9875,15421.98353,1780.861708,654.4650313,758.524456,758.524456,758.524456,758.524456,654.6702386,13017.89289,13017.89289,13017.89289
1.555636696,797.000398,872.4877378,13648.51626,28439.80676,12629.21216,1.32E-19,56934.27764,91348.3785,1.00E-06,385.86068,13604.64506,11181.5268,14836.33267,15533.39308,1780.861708,745.3097885,871.0507186,871.0507186,871.0507186,871.0507186,745.5281721,13098.53601,13098.53601,13098.53601
1.557591014,796.0003972,880.1518544,13696.89509,28949.47119,12813.50426,1.32E-19,57066.05443,92198.03329,1.00E-06,385.86068,13656.4292,11257.84359,14913.36789,15645.08256,1944.532341,849.041789,1000.617901,1000.617901,1000.617901,1000.617901,849.2730851,13161.59711,13161.59711,13161.59711
1.559550248,795.0003967,887.9028277,13745.56775,29469.58588,13074.23212,1.32E-19,57198.46889,93056.67396,1.00E-06,385.86068,13708.54148,11334.87522,14986.29755,15757.05301,2089.373986,967.5282688,1149.858992,1149.858992,1149.858992,1149.858992,967.7718716,13216.68601,13216.68601,13216.68601
1.561514417,794.0003963,895.7418413,13793.63491,30000.39068,13388.03346,1.31E-19,57331.52529,91734.08349,1.00E-06,385.86068,13760.98463,11412.62997,15053.18315,15869.30551,2089.373986,1102.912769,1321.822018,1321.822018,1321.822018,1321.822018,1103.167636,13272.07526,13272.07526,13272.07526
1.563483539,793.0003962,903.6700931,13841.76552,30542.13116,13732.18261,1.31E-19,57465.22797,92367.4077,1.00E-06,385.86068,13813.76143,11491.11623,15112.95212,15981.84111,2089.373986,1257.656656,1511.179707,1511.179707,1511.179707,1511.179707,1257.921192,13327.76688,13327.76688,13327.76688
1.565457635,792.0003954,911.6888116,13890.18628,31095.05995,14037.73361,1.31E-19,57599.58127,93005.91176,1.00E-06,385.86068,13866.87469,11570.34249,15165.40686,16094.66089,2131.721294,1434.587549,1715.519664,1715.519664,1715.519664,1715.519664,1434.859465,13383.76291,13383.76291,13383.76291
1.567436722,791.0003948,919.799228,13938.89949,31659.43495,14263.11564,1.31E-19,57734.58959,93649.64466,1.00E-06,385.86068,13920.32723,11650.31738,15211.23377,16207.76594,2335.017183,1636.954272,1948.114787,1948.114787,1948.114787,1948.114787,1637.230417,13440.0654,13440.0654,13440.0654
1.569420819,790.0003943,928.0026013,13987.90751,32235.52113,14458.0616,1.31E-19,57870.25733,94298.65592,1.00E-06,385.86068,13974.12193,11731.04964,15252.01243,16321.15732,2397.886263,1868.491453,2212.957993,2212.957993,2212.957993,2212.957993,1868.767602,13496.67641,13496.67641,13496.67641
1.571409945,789.0003941,937.6194937,14037.2127,32823.5902,14669.75189,1.30E-19,58006.589,92969.81921,1.00E-06,385.86068,14028.26166,11789.32802,15290.22492,16434.83614,2397.886263,2133.493435,2514.618534,2514.618534,2514.618534,2514.618534,2133.764045,13553.59804,13553.59804,13553.59804
1.57340412,788.0003936,947.3608372,14086.81751,33069.06721,14848.59546,1.30E-19,58143.58908,93882.46852,1.00E-06,385.86068,14082.74936,11844.85091,15329.26514,16548.80348,2437.259386,2436.900028,2856.912741,2856.912741,2856.912741,2856.912741,2437.157929,13610.83237,13610.83237,13610.83237
