eVs,wavelength_nm,Si,GaAs,CdTe,CIS,CIGS,GaNP,perovskite triple cation,perovskite MaPI
0.342971631,3615,3.485,3.306825277,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.343446661,3610,3.485,3.306870879,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.343923009,3605,3.485,3.306916609,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.34440068,3600,3.485,3.306962465,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.344879679,3595,3.485,3.307008449,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.345360013,3590,3.485,3.307054561,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.345841687,3585,3.485,3.307100802,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.346324706,3580,3.485,3.307147172,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.346809076,3575,3.485,3.307193671,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.347294803,3570,3.485,3.307240301,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.347781893,3565,3.485,3.307287062,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.34827035,3560,3.485,3.307333954,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.348760182,3555,3.485,3.307380977,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.349251393,3550,3.485,3.307428134,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.349743991,3545,3.485,3.307475423,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.350237979,3540,3.485,3.307523798,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.350733365,3535,3.485,3.307573337,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.351230155,3530,3.485,3.307623016,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.351728354,3525,3.485,3.307672835,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.352227968,3520,3.485,3.307722797,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.352729003,3515,3.485,3.3077729,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.353231466,3510,3.485,3.307823147,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.353735363,3505,3.485,3.307873536,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.354240699,3500,3.485,3.30792407,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.354747481,3495,3.485,3.307974748,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.355255715,3490,3.485,3.308025572,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.355765408,3485,3.485,3.308076541,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.356276565,3480,3.485,3.308127657,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.356789193,3475,3.485,3.308178919,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.357303299,3470,3.485,3.30823033,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.357818888,3465,3.485,3.308281889,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.358335967,3460,3.485,3.308333597,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.358854543,3455,3.485,3.308385454,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.359374622,3450,3.485,3.308437462,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.359896211,3445,3.485,3.308489621,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.360419316,3440,3.485,3.308541932,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.360943944,3435,3.485,3.308594394,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.361470101,3430,3.485,3.30864701,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.361997795,3425,3.485,3.30869978,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.362527031,3420,3.485,3.308752703,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.363057818,3415,3.485,3.308805782,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.36359016,3410,3.485,3.308859016,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.364124067,3405,3.485,3.308912407,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.364659543,3400,3.485,3.308965954,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.365196597,3395,3.485,3.30901966,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.365735235,3390,3.485,3.309073524,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.366275464,3385,3.485,3.309127546,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.366817292,3380,3.485,3.309181729,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.367360725,3375,3.485,3.309236073,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.367905771,3370,3.485,3.309290577,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.368452436,3365,3.485,3.309345244,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.369000728,3360,3.485,3.309400073,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.369550655,3355,3.485,3.309455066,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.370102223,3350,3.485,3.309510222,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.37065544,3345,3.485,3.309565544,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.371210313,3340,3.485,3.309621031,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.371766851,3335,3.485,3.309676685,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.372325059,3330,3.485,3.309732506,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.372884946,3325,3.485,3.309788495,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.37344652,3320,3.485,3.309844652,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.374009788,3315,3.485,3.309900979,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.374574757,3310,3.485,3.309957476,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.375141436,3305,3.485,3.310014144,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.375709832,3300,3.485,3.310070983,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.376279954,3295,3.485,3.310127995,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.376851808,3290,3.485,3.310185181,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.377425402,3285,3.485,3.31024254,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.378000746,3280,3.485,3.310300075,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.378577846,3275,3.485,3.310357785,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.379156712,3270,3.485,3.310415671,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.37973735,3265,3.485,3.310473735,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.380319769,3260,3.485,3.310531977,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.380903978,3255,3.485,3.310590398,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.381489984,3250,3.485,3.310648998,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.382077796,3245,3.485,3.31070778,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.382667422,3240,3.485,3.310766742,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.383258871,3235,3.485,3.310825887,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.383852151,3230,3.485,3.310885215,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.38444727,3225,3.485,3.310944727,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.385044238,3220,3.485,3.311004424,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.385643063,3215,3.485,3.311064306,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.386243753,3210,3.485,3.311124375,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.386846317,3205,3.485,3.311184632,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.387450765,3200,3.485,3.311245077,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.388057104,3195,3.485,3.31130571,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.388665344,3190,3.485,3.311366534,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.389275494,3185,3.485,3.311427549,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.389887562,3180,3.485,3.311488756,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.390501558,3175,3.485,3.311550156,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.391117491,3170,3.485,3.311611749,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.39173537,3165,3.485,3.311673537,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.392355205,3160,3.485,3.311735521,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.392977004,3155,3.485,3.3117977,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.393600777,3150,3.485,3.311860078,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.394226533,3145,3.485,3.311922653,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.394854282,3140,3.485,3.311985428,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.395484034,3135,3.485,3.312048403,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.396115798,3130,3.485,3.31211158,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.396749583,3125,3.485,3.312174958,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.3973854,3120,3.485,3.31223854,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.398023257,3115,3.485,3.312302326,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.398663166,3110,3.485,3.312366317,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.399305136,3105,3.485,3.312430514,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.399949176,3100,3.485,3.312494918,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.400595298,3095,3.485,3.312565483,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.40124351,3090,3.485,3.312636786,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.401893824,3085,3.485,3.312708321,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.402546249,3080,3.485,3.312780087,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.403200796,3075,3.485,3.312852088,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.403857475,3070,3.485,3.312924322,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.404516296,3065,3.485,3.312996793,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.40517727,3060,3.485,3.3130695,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.405840408,3055,3.485,3.313142445,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.40650572,3050,3.485,3.313215629,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.407173217,3045,3.485,3.313289054,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.40784291,3040,3.485,3.31336272,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.408514809,3035,3.485,3.313436629,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
